debugHP1B1C:debugIQ1RBC,0,1520971377501,"{""rt"": 1509, ""trial_type"": ""instructions"", ""view_history"": ""[{\""page_index\"":0,\""viewing_time\"":872},{\""page_index\"":1,\""viewing_time\"":636}]"", ""time_elapsed"": 1511, ""internal_node_id"": ""0.0-0.0"", ""trial_index"": 0}"
debugHP1B1C:debugIQ1RBC,1,1520971379276,"{""rt"": 1774, ""trial_type"": ""survey-text"", ""responses"": ""{\""Q0\"":\""231\""}"", ""time_elapsed"": 3288, ""internal_node_id"": ""0.0-1.0"", ""trial_index"": 1}"
debugHP1B1C:debugIQ1RBC,2,1520971382775,"{""rt"": 3490, ""trial_type"": ""survey-multi-choice"", ""responses"": ""{\""Q0\"":\""Male\"",\""Q1\"":\""Did not complete high school\"",\""Q2\"":\""Yes\""}"", ""time_elapsed"": 6787, ""internal_node_id"": ""0.0-2.0"", ""trial_index"": 2}"
debugHP1B1C:debugIQ1RBC,3,1520971383777,"{""rt"": null, ""trial_type"": ""html-keyboard-response"", ""stimulus"": ""<div style='font-size: 20pt;'>Please wait&hellip;</div>"", ""time_elapsed"": 7789, ""internal_node_id"": ""0.0-3.0"", ""key_press"": null, ""trial_index"": 3}"
debugHP1B1C:debugIQ1RBC,4,1520971388394,"{""rt"": 4614, ""trial_type"": ""scene-choice"", ""prompt"": ""I'm looking for the pile of boxes that is near the car. Which is the pile that I'm looking for?"", ""frame_path"": ""boxcar.73.png"", ""time_elapsed"": 12406, ""frame"": ""boxcar.73"", ""scene"": ""boxcar"", ""choice"": ""B"", ""referents"": {""A"": {""reference_frame"": ""functional"", ""name"": ""box"", ""manipulations"": {""rotation"": -0.5560627472171503, ""location"": 0.22240133310055632}}, ""C"": {""reference_frame"": null, ""name"": ""wall"", ""manipulations"": {}}, ""B"": {""reference_frame"": ""relative"", ""name"": ""box2"", ""manipulations"": {""rotation"": 2.097473105277775, ""location"": 0.5878578256865715}}}, ""internal_node_id"": ""0.0-4.0"", ""relation"": ""near"", ""prompt_type"": ""pick"", ""labeled_frame_path"": ""boxcar.73.labeled.png"", ""trial_index"": 4}"
debugHP1B1C:debugIQ1RBC,5,1520971389395,"{""rt"": null, ""trial_type"": ""html-keyboard-response"", ""stimulus"": ""<div style='font-size: 20pt;'>Please wait&hellip;</div>"", ""time_elapsed"": 13406, ""internal_node_id"": ""0.0-5.0"", ""key_press"": null, ""trial_index"": 5}"
debugHP1B1C:debugIQ1RBC,6,1520971400067,"{""rt"": 10671, ""trial_type"": ""scene-choice"", ""prompt"": ""I'm looking for the pile of boxes that is near the car. Which is the pile that I'm looking for?"", ""frame_path"": ""boxcar.114.png"", ""time_elapsed"": 24079, ""frame"": ""boxcar.114"", ""scene"": ""boxcar"", ""choice"": ""B"", ""referents"": {""A"": {""reference_frame"": null, ""name"": ""wall"", ""manipulations"": {}}, ""C"": {""reference_frame"": ""intrinsic"", ""name"": ""box2"", ""manipulations"": {""rotation"": -2.853054785354974, ""location"": 0.060457998165193705}}, ""B"": {""reference_frame"": ""relative"", ""name"": ""box"", ""manipulations"": {""rotation"": -0.921674852726055, ""location"": 0.8873956024338291}}}, ""internal_node_id"": ""0.0-6.0"", ""relation"": ""near"", ""prompt_type"": ""pick"", ""labeled_frame_path"": ""boxcar.114.labeled.png"", ""trial_index"": 6}"
debugHP1B1C:debugIQ1RBC,7,1520971401068,"{""rt"": null, ""trial_type"": ""html-keyboard-response"", ""stimulus"": ""<div style='font-size: 20pt;'>Please wait&hellip;</div>"", ""time_elapsed"": 25079, ""internal_node_id"": ""0.0-7.0"", ""key_press"": null, ""trial_index"": 7}"
debugHP1B1C:debugIQ1RBC,8,1520971411558,"{""rt"": 10489, ""trial_type"": ""scene-choice"", ""prompt"": ""I'm looking for the pile of boxes that is near the car. Which is the pile that I'm looking for?"", ""frame_path"": ""boxcar.113.png"", ""time_elapsed"": 35570, ""frame"": ""boxcar.113"", ""scene"": ""boxcar"", ""choice"": ""C"", ""referents"": {""A"": {""reference_frame"": null, ""name"": ""wall"", ""manipulations"": {}}, ""C"": {""reference_frame"": ""relative"", ""name"": ""box"", ""manipulations"": {""rotation"": 1.3184164780778067, ""location"": 0.273845702689558}}, ""B"": {""reference_frame"": ""intrinsic"", ""name"": ""box2"", ""manipulations"": {""rotation"": 0.9361347383592564, ""location"": 0.059678896299914186}}}, ""internal_node_id"": ""0.0-8.0"", ""relation"": ""near"", ""prompt_type"": ""pick"", ""labeled_frame_path"": ""boxcar.113.labeled.png"", ""trial_index"": 8}"
debugHP1B1C:debugIQ1RBC,9,1520971412559,"{""rt"": null, ""trial_type"": ""html-keyboard-response"", ""stimulus"": ""<div style='font-size: 20pt;'>Please wait&hellip;</div>"", ""time_elapsed"": 36571, ""internal_node_id"": ""0.0-9.0"", ""key_press"": null, ""trial_index"": 9}"
debugHP1B1C:debugIQ1RBC,10,1520971414412,"{""rt"": 1852, ""trial_type"": ""scene-choice"", ""prompt"": ""How many boxes are in front of the car?"", ""frame_path"": ""boxcar.54.png"", ""time_elapsed"": 38424, ""frame"": ""boxcar.54"", ""scene"": ""boxcar"", ""choice"": 1, ""referents"": {""A"": {""reference_frame"": ""relative"", ""name"": ""box2"", ""manipulations"": {""rotation"": 2.1504724243325866, ""location"": 0.7747346190824725}}, ""B"": {""reference_frame"": null, ""name"": ""wall"", ""manipulations"": {}}}, ""internal_node_id"": ""0.0-10.0"", ""relation"": ""in front of"", ""prompt_type"": ""count"", ""labeled_frame_path"": ""boxcar.54.labeled.png"", ""trial_index"": 10}"
debugHP1B1C:debugIQ1RBC,11,1520971415413,"{""rt"": null, ""trial_type"": ""html-keyboard-response"", ""stimulus"": ""<div style='font-size: 20pt;'>Please wait&hellip;</div>"", ""time_elapsed"": 39425, ""internal_node_id"": ""0.0-11.0"", ""key_press"": null, ""trial_index"": 11}"
